,p1,d1,q1,mse1,r21,corr1,tr_na1,tr1,tst1,p2,d2,q2,mse2,r22,corr2,tr_na2,tr2,tst2
AS14.01,2.0,2.0,1.0,0.06101042177970197,0.24262924687266485,0.9333333333333333,32.0,62.0,15.0,1.0,2.0,2.0,0.0799948970424992,0.23155718499040145,0.9,37.0,37.0,10.0
AS14.02,0.0,1.0,0.0,1.1227976190476188,-0.0009210162258042054,0.21428571428571427,27.0,54.0,14.0,0.0,1.0,0.0,1.4567901234567904,-0.12858660998937355,0.3333333333333333,32.0,32.0,9.0
AS14.03,0.0,1.0,0.0,0.061074074074074086,-0.00815162013450177,1.0,32.0,64.0,15.0,2.0,1.0,2.0,0.0668982378149755,0.023383389562401602,1.0,37.0,37.0,10.0
AS14.05,0.0,2.0,1.0,0.07790295370712488,0.19770064773110974,0.875,37.0,61.0,16.0,2.0,1.0,2.0,0.10480448350362023,0.19172775372371875,0.9090909090909091,42.0,42.0,11.0
AS14.06,3.0,1.0,0.0,0.20555988872078904,0.05857450668595199,0.8125,29.0,64.0,16.0,0.0,1.0,1.0,0.2341773378062422,-0.029490603110210012,0.7777777777777778,36.0,36.0,9.0
AS14.07,1.0,0.0,0.0,0.8107397683987083,-0.0004706992569645241,0.4,38.0,40.0,10.0,1.0,0.0,0.0,0.8107397684037003,-0.0004706992631249296,0.4,38.0,38.0,10.0
AS14.08,2.0,0.0,2.0,0.45423646281224606,-0.6999627383312648,0.4375,46.0,62.0,16.0,3.0,1.0,1.0,0.33180831580701564,-0.0561040624907827,0.46153846153846156,49.0,49.0,13.0
AS14.09,0.0,0.0,0.0,0.34265150528812127,-0.009528646333146318,0.5,30.0,62.0,16.0,2.0,0.0,2.0,0.33969189746688055,0.17495440532666096,0.4,36.0,36.0,10.0
AS14.12,1.0,1.0,0.0,0.261747565397933,0.011654165096488422,0.6875,25.0,60.0,16.0,2.0,1.0,1.0,0.4093244676269785,-0.6821553464122403,0.6666666666666666,32.0,32.0,9.0
AS14.13,0.0,0.0,0.0,0.8769943566008643,-0.6731800706821303,0.3125,37.0,61.0,16.0,0.0,2.0,1.0,0.49089938901682806,-2.025835203845057,0.45454545454545453,42.0,42.0,11.0
AS14.14,2.0,0.0,2.0,0.33791902563926557,-0.25363133026491513,0.7142857142857143,30.0,62.0,14.0,3.0,1.0,2.0,0.369213919752525,0.060993066216889824,0.5555555555555556,35.0,35.0,9.0
AS14.15,0.0,1.0,1.0,0.09533421169643083,-0.030640126447900817,0.875,39.0,64.0,16.0,0.0,1.0,1.0,0.09110527051486868,-0.03606557634390106,0.9090909090909091,44.0,44.0,11.0
AS14.16,2.0,2.0,2.0,0.33037740482158007,0.015590934854254668,0.7333333333333333,38.0,62.0,15.0,3.0,2.0,0.0,0.3806473977487501,0.11713962803175759,0.7272727272727273,42.0,42.0,11.0
AS14.17,0.0,0.0,1.0,0.140164454228696,-0.012098915322740655,0.8,41.0,62.0,15.0,3.0,0.0,2.0,0.13495072299353525,0.0017771100003041163,0.8333333333333334,44.0,44.0,12.0
AS14.19,2.0,2.0,2.0,0.26257427989231824,0.027127330387396897,0.625,30.0,62.0,16.0,3.0,2.0,1.0,0.23363820676592714,0.026067849657441466,0.8,36.0,36.0,10.0
AS14.20,0.0,1.0,2.0,0.06790677654108707,0.10820101943305549,0.9375,31.0,62.0,16.0,1.0,2.0,1.0,0.03561093156352042,-0.005012179591358912,1.0,37.0,37.0,10.0
AS14.23,1.0,2.0,2.0,0.35735200970693315,0.09942790693387515,0.75,27.0,61.0,12.0,1.0,2.0,2.0,0.4676031127485436,-0.33184687209198005,0.75,31.0,31.0,8.0
AS14.24,3.0,0.0,0.0,0.20301952530670717,-0.018999466698265577,0.75,43.0,49.0,12.0,3.0,0.0,2.0,0.21072647167812414,-0.10319509486083733,0.7272727272727273,44.0,44.0,11.0
AS14.25,2.0,0.0,1.0,0.336726403616154,-0.0378692377782488,0.625,14.0,64.0,16.0,3.0,2.0,0.0,0.04831594918756732,0.3680109997266119,1.0,24.0,24.0,6.0
AS14.26,3.0,0.0,2.0,0.4616756618274435,0.09269622608777806,0.5714285714285714,47.0,82.0,21.0,3.0,0.0,2.0,0.4615265415454252,0.12616690356546212,0.42857142857142855,54.0,54.0,14.0
AS14.27,0.0,0.0,1.0,0.3708806798506802,-0.6401330391247604,0.5294117647058824,25.0,70.0,17.0,3.0,1.0,0.0,0.2857846967910592,-0.2860311355597669,0.4444444444444444,33.0,33.0,9.0
